"id","text","target","target_sentiment","companies_sentiment","consumers_sentiment"
"69737","Renfe afronta mañana un nuevo día de paros parciales de los maquinistas","Renfe","negative","negative","negative"
"71795","Presupuesto populista con cimientos frágiles","Presupuesto populista","negative","negative","negative"
"77984","Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo","OPEP+","negative","negative","negative"
"82648","La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis","deuda de las familias","positive","positive","positive"
"97337","Bestinver: no hay ""momento más inoportuno"" para el Brexit","Bestinver","negative","negative","negative"
"118683","El número de desempleados aumenta en 932 personas en octubre","desempleados","negative","negative","negative"
"128066","La sombra de Donald Trump se cierne sobre la economía mexicana","Donald Trump","negative","negative","negative"
"134608","Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos","Grecia","negative","negative","positive"
"161520","Pensiones en España: tenemos un problema","Pensiones","negative","negative","negative"
"161813","Trump: ""La paciencia estratégica con Pyongyang se ha acabado""","Pyongyang","negative","negative","negative"
"162547","Berenberg reincide en su pesimismo sobre la banca española","Berenberg","negative","negative","negative"
"173981","España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables","España","negative","negative","negative"
"220615","Tercer mes a la baja en el Ibex-35","Ibex-35","negative","negative","negative"
"224630","Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo","accidentes laborales mortales","negative","negative","negative"
"227192","España se mantiene como el segundo país de la eurozona con mayor tasa de paro","España","negative","negative","negative"
"245519","Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%","carburantes","negative","negative","negative"
"250324","Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano","Maroto","negative","negative","negative"
"251652","La mitad de los españoles reducirá sus gastos esta Navidad","mitad de los españoles","positive","negative","negative"
"252608","Una de cada diez empresas cerrará y la mitad entrará en pérdidas","Una de cada diez empresas","negative","negative","negative"
"257648","La fortaleza del euro entorpece la recuperación del Viejo Continente","fortaleza del euro","positive","negative","negative"
"269177","La UE devuelve a Panamá a su lista negra de paraísos fiscales","Panamá","negative","negative","negative"
"275690","Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión","España","negative","negative","negative"
"282747","El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre","Ibex-35","negative","negative","negative"
"292024","El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos","Ibex-35","negative","negative","negative"
"297814","El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas","IBEX","negative","negative","negative"
"310178","La bajada de los alimentos deja la subida de precios de enero en el 1%","bajada de los alimentos","negative","negative","negative"
"310840","El déficit público en la eurozona sube al 0,5% en el tercer trimestre","déficit público","negative","negative","negative"
"312966","Las empresas aportan la mitad que hace 10 años a las cuentas del Estado","empresas","negative","negative","negative"
"319081","El Ibex-35 cae un 4,8% en agosto, cierra al filo de los 9.400 puntos, casi en mínimos anuales","Ibex-35","negative","negative","negative"
"323918","La inflación de China se mantiene en el 1,8% en mayo","inflación de China","positive","negative","negative"
"324263","Con las cuotas a vueltas","cuotas","negative","negative","negative"
"349600","El vaivén de Donald Trump con los aranceles de China sacude todas las bolsas mundiales","vaivén de Donald Trump","negative","negative","negative"
"357844","«Los índices europeos parecen haber entrado en modo rebote»","índices europeos","positive","negative","negative"
"384829","El beneficio del Santander se reduce un 4,9% por los tipos de cambio","beneficio del Santander","negative","negative","negative"
"385359","Guindos apunta a Italia como el mayor riesgo para la deuda en Europa y no descarta un 'efecto contagio'","Italia","negative","negative","negative"
"390834","El FMI calcula que el coronavirus puede costarle entre un 0,1% y un 0,2% al PIB mundial este año","coronavirus","negative","negative","negative"
"394627","Oh yes! Gibraltar se paga sus servicios públicos engañando a la UE","Gibraltar","negative","negative","negative"
"409492","Sanidad contradice a Comercio y prohíbe las rebajas por posibles aglomeraciones","rebajas","negative","negative","negative"
"426829","La tasa de paro salta al 15,33% tras destruirse un millón de empleos","tasa de paro","negative","negative","negative"
"432283","La disolución de empresas se duplicó en junio respecto a mayo","disolución de empresas","negative","negative","negative"
"438555","Créditos morosos en manos del Gobierno español sumaban 0,2 % del PIB en 2017","Créditos morosos","negative","negative","negative"
"445266","El FMI alerta a Italia de que sus políticas podrían dejar ""vulnerable"" al país ante los mercados","Italia","negative","negative","negative"
"461307","Hacienda advierte a 21.500 usuarios de plataformas como Airbnb de que deben declarar todos sus ingresos","usuarios de plataformas como Airbnb","negative","negative","positive"
"463625","La Bolsa de Hong Kong baja un 0,51 % a media sesión","Bolsa de Hong Kong","negative","negative","negative"
"465852","La Bolsa de México pierde un 0,36 % al inicio de la sesión","Bolsa de México","negative","negative","negative"
"472571","Los trabajadores de ITP en Sestao y Barakaldo piden una solución 'in extremis' a sus despidos","trabajadores de ITP","negative","negative","negative"
"476793","La Bolsa de Londres baja un 0,29 % en la apertura","Bolsa de Londres","negative","negative","negative"
"478898","La luz anticipa mañana otro récord con España congelada","luz","positive","negative","negative"
"479992","El PIB frena su crecimiento y se expande un 0,5% en el segundo trimestre","PIB","negative","negative","negative"
"484592","Trump: ""Sin las subidas de tipos de la Fed, EEUU habría crecido un 4% en 2018""","subidas de tipos","negative","negative","negative"
"491130","Cae la tasa de ahorro de los hogares en 2018 al mínimo histórico","tasa de ahorro","negative","negative","negative"
"491838","Sólo el PSOE se enroca en mantener la subida del impuesto de matriculación","PSOE","negative","negative","negative"
"496678","La Bolsa de París baja un 0,09 % a la apertura","Bolsa de París","negative","negative","negative"
"502644","Rusia, un país con excesiva presencia del Estado e infraestructuras insuficientes","Rusia","negative","negative","negative"
"517496","Huelga en la mayor compañía minera de Mauritania casi paraliza la actividad","mayor compañía minera de Mauritania","negative","negative","negative"
"518084","Wall Street vuelve a las ventas afectado por la caída del petróleo","Wall Street","negative","negative","negative"
"518286","El precio de la gasolina sube un 1,73 % y el del gasóleo, un 1,21 %","precio de la gasolina","positive","negative","negative"
"522492","Los tuits de Trump y las tensiones geopolíticas tumban la Bolsa de Seúl","tuits de Trump","negative","negative","negative"
"522716","Los cruceros reabren sus puertas con solo un quinto de su negocio","cruceros","negative","negative","negative"
"531001","La bolsa de Sao Paulo encadena tercera caída consecutiva en jornada volátil","bolsa de Sao Paulo","negative","negative","negative"
"534520","ELA aboga por mantener la huelga indefinida en Tubacex como «garantía» para negociar","ELA","negative","negative","negative"
"537969","La guerra fría tecnológica entre EEUU y China acentúa el temor de Wall Street","guerra fría tecnológica","negative","negative","negative"
"540922","El petróleo de Texas cae un 0,6% y cierra en 58,81 dólares el barril","petróleo de Texas","negative","negative","positive"
"544427","Caída de Google y de sus servicios de Gmail y Youtube en EEUU, España y otros países europeos","Caída de Google","negative","negative","negative"
"548878","Los riesgos económicos ante la repetición electoral de noviembre","riesgos económicos","negative","negative","negative"
"550800","La Bolsa de Sao Paulo pierde un 0,41 % en la apertura","Bolsa de Sao Paulo","negative","negative","negative"
"553032","España, en la zona media de la digitalización europea: lastrada por la formación y los precios","España","negative","negative","negative"
"554620","La deuda pública marca nuevo récord con 1,2 billones de euros hasta marzo","deuda pública","negative","negative","negative"
"554869","El Gobierno admite que la fortaleza del euro es una ""amenaza importante"" para el turismo en España","fortaleza del euro","positive","negative","negative"
"562761","Funcas avisa: la ralentización económica y la incertidumbre política obstaculizan el cumplimiento del déficit","cumplimiento del déficit","negative","negative","negative"
"569452","El IBEX abre con pérdidas del 0,25 % en una jornada sin referencias de EEUU","IBEX","negative","negative","negative"
"573211","El Ibex vuelve a perder el 9.000 lastrado por el Brexit y la guerra comercial","Ibex","negative","negative","negative"
"690590","La planta de Nissan en Barcelona dejará de fabricar el 'pick-up' de Mercedes-Benz","planta de Nissan","negative","negative","negative"
"726820","CEOE denuncia la falta de EPIs de las pymes para reanudar su actividad con garantías","falta de EPIs","negative","negative","negative"
"995761","La ley de sociedades profesionales se retrasa de nuevo en el Congreso","ley de sociedades profesionales","negative","negative","neutral"
"1078862","Los peligros de financiarse sólo con rondas","rondas","negative","negative","neutral"
"1248454","Tamaño y sector, los motivos detrás de las ""acusadas"" diferencias en digitalización de las empresas españolas","Tamaño y sector","negative","negative","neutral"
"1490866","Acciona ve imposible adjudicar el contrato de ATLL a Agbar","Acciona","negative","negative","neutral"
"1578198","El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional","PSOE","negative","negative","neutral"
"1600989","La confianza empresarial cae en Alemania en septiembre por quinto mes","confianza empresarial","negative","negative","neutral"
"1680593","Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar","Gandía","negative","negative","neutral"
"1703125","El sector textil cae un 8% en un semestre ""dramático"" en ventas","sector textil","negative","negative","neutral"
"1706393","El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea","juez","negative","negative","neutral"
"1706608","Fitch avisa de que la unión bancaria no tranquiliza a los inversores","unión bancaria","negative","negative","neutral"
"1818008","Las ventas minoristas de la eurozona cayeron un 0,6% en diciembre","ventas minoristas de la eurozona","negative","negative","neutral"
"1906456","Cuando el heredero no sirve como directivo","heredero","negative","negative","neutral"
"1906857","La publicidad emitida en TV cae casi un 12% en el tercer trimestre","publicidad emitida en TV","negative","negative","neutral"
"3042098","El 60% de las empresas no prevé mejorar sus ventas este verano","60% de las empresas","negative","negative","neutral"
"3067491","Cataluña amenaza el año récord de Caixabank","Cataluña","negative","negative","neutral"
"3103096","La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores","oferta china","negative","negative","neutral"
"3103225","El Automobile de Barcelona se aplaza a septiembre por la crisis mundial de chips","Automobile de Barcelona","negative","negative","neutral"
"3167369","La solvencia del posible comprador de Air Comet, en entredicho","comprador de Air Comet","negative","negative","neutral"
"3167891","Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia","cofradías","negative","negative","neutral"
"3698216","Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph","influencer","negative","negative","neutral"
"4279305","El activismo climático veta al gas","gas","negative","negative","neutral"
"4522279","La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron","confianza empresarial","negative","negative","neutral"
"4526195","Los datos sobre el uso de los ascensores arrojan una caída del 45% en la afluencia a la oficina por ómicron","uso de los ascensores","negative","negative","neutral"
"4569351","La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera","Bankia","negative","negative","neutral"
"4719943","6 errores que tienes que evitar al alquilar una oficina","6 errores","negative","negative","neutral"
"5014127","El ""Operativo Máximo"" causa un temblor en el PJ bonaerense","""Operativo Máximo""","negative","neutral","neutral"
"5044021","Los inspectores de Trabajo preparan huelga en marzo ante el “abandono” de Díaz y Montero","inspectores de Trabajo","negative","negative","negative"
"5656984","Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones","Tenaris","negative","negative","neutral"
"5680880","La devaluación puso más presión a los balances de las empresas","devaluación","negative","negative","neutral"
"5782642","Empeoran las condiciones de los créditos para empresas","créditos para empresas","negative","negative","neutral"
"3698216","Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph","influencer","negative","negative","neutral"
"1706608","Fitch avisa de que la unión bancaria no tranquiliza a los inversores","unión bancaria","negative","negative","neutral"
"5656984","Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones","Tenaris","negative","negative","neutral"
"3167891","Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia","cofradías","negative","negative","neutral"
"99212","Draghi protesta por el registro policial efectuado en el banco central de Eslovenia","Draghi","negative","negative","neutral"
"1078862","Los peligros de financiarse sólo con rondas","rondas","negative","negative","neutral"
"3067491","Cataluña amenaza el año récord de Caixabank","Cataluña","negative","negative","neutral"
"1703125","El sector textil cae un 8% en un semestre ""dramático"" en ventas","sector textil","negative","negative","neutral"
"267685","La CNMV prohíbe las ventas en corto sobre acciones de 69 sociedades por el impacto del coronavirus","CNMV","negative","negative","neutral"
"3103096","La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores","oferta china","negative","negative","neutral"
"4569351","La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera","Bankia","negative","negative","neutral"
"4279305","El activismo climático veta al gas","gas","negative","negative","neutral"
"358600","Los malos resultados de ArcelorMittal preocupan a las plantas del País Vasco","ArcelorMittal","negative","negative","neutral"
"5014127","El ""Operativo Máximo"" causa un temblor en el PJ bonaerense","""Operativo Máximo""","negative","negative","neutral"
"41485","Las aseguradoras verán reducida su red bancaria en 1.560 oficinas","aseguradoras","negative","negative","neutral"
"300251","Sube solo un 2% el tipo efectivo que las empresas pagan a Hacienda","tipo efectivo","negative","negative","neutral"
"64520","Los coches eléctricos cortocircuitarán a los concesionarios","coches eléctricos","negative","negative","neutral"
"1490866","Acciona ve imposible adjudicar el contrato de ATLL a Agbar","Acciona","negative","negative","neutral"
"5680880","La devaluación puso más presión a los balances de las empresas","devaluación","negative","negative","neutral"
"1680593","Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar","Gandía","negative","negative","neutral"
"4522279","La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron","confianza empresarial","negative","negative","neutral"
"4719943","6 errores que tienes que evitar al alquilar una oficina","6 errores","negative","negative","neutral"
"256100","La banca estadounidense también se suma al exilio fiscal","banca estadounidense","negative","negative","neutral"
"1578198","El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional","PSOE","negative","negative","neutral"
"1906456","Cuando el heredero no sirve como directivo","heredero","negative","negative","neutral"
"1600989","La confianza empresarial cae en Alemania en septiembre por quinto mes","confianza empresarial","negative","negative","neutral"
"169594","El futbolista del Real Madrid Marcelo paga medio millón de euros a Hacienda y evita una pena de cárcel de 4 meses","Marcelo","negative","neutral","neutral"
"1706393","El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea","juez","negative","negative","neutral"
"12794","El Covid-19 recorta en 2.150 millones el beneficio de las cotizadas catalanas","Covid-19","negative","negative","neutral"
"201804","Las empresas españolas ante el desafío de la ciberseguridad","empresas españolas","negative","negative","neutral"
"3171658","La publicidad caerá un 17% este año","publicidad","negative","negative","neutral"
"6113947","JPMorgan: Vender acciones ahora conlleva mucho riesgo","Vender acciones","negative","negative","neutral"
"70135","La UE reduce su lista de paraísos fiscales en medio del escándalo por los 'Papeles de Pandora'","UE","postive","neutral","positive"
"5438416","Los anuncios sin ley de los ‘influencers’ tienen los días contados","anuncios sin ley","negative","negative","positive"
"6145580","La propiedad intelectual podría ""desaparecer"" en el metaverso, según un prestigioso abogado especializado: así pueden protegerse las marcas, según los expertos","propiedad intelectual","negative","negative","neutral"
"299559","Lindorff anuncia el despido de 449 trabajadores en España","Lindorff","negative","neutral","negative"
"312612","CCOO convoca paro en el centro de Amazon en San Fernando el 18 de mayo","centro de Amazon","negative","negative","negative"
"313931","Los taxistas se trasladan al centro de Madrid en su séptimo día de huelga","taxistas","negative","neutral","negative"
"322452","Feelcapital alerta de que los fondos de pensiones se venden sin realizar perfil de riesgo","fondos de pensiones","negative","neutral","negative"
"352280","El interés de las hipotecas sigue en mínimos del 1,9% a pesar del auge de los tipos fijos","interés de las hipotecas","negative","neutral","positive"
"398347","Airbus cierra sus plantas en España cuatro días y Volkswagen tres semanas","Airbus","negative","negative","negative"
"429038","Hidalgo (Globalia) vaticina el fin de la agencia de viaje para sacar billetes","Hidalgo (Globalia)","negative","negative","negative"
"442187","Jubilados protestan en Madrid contra norma sobre pensiones y el taxi se une","norma sobre pensiones","negative","neutral","negative"
"454377","La reunión de Fomento con los estibadores acaba sin acuerdo","reunión de Fomento","negative","negative","negative"
"454986","Empresas portuarias denuncian el ""vandalismo"" de los estibadores","Empresas portuarias","negative","negative","neutral"
"473575","Así ha sido el robo de película de 750 kg. de oro en un aeropuerto de Brasil","robo de película","negative","neutral","negative"
"502117","La vivienda se encarece un 4,2 % en eurozona y UE en último trimestre de 2018","vivienda","negative","neutral","negative"
"574836","Papelón del Gobierno: así es el dinero que descubre ahora para las pensiones","Gobierno","negative","neutral","negative"
"618023","Vesuvius se niega a retirar el ERE que afecta a 128 trabajadores","Vesuvius","negative","neutral","neutral"
"624854","Las aerolíneas ven difícil poder reemplazar a Thomas Cook a corto plazo","aerolíneas","negative","neutral","negative"
"626110","Declarada en concurso In Destination Incoming tras la quiebra Thomas Cook","In Destination Incoming","negative","neutral","neutral"
"626507","Twitter y Tweetdeck experimentan problemas que impiden su uso con normalidad","Twitter","negative","neutral","negative"
"635705","El sector de componentes para coches ve un 2020 ""desafiante"" y ""preocupante""","sector de componentes para coches","negative","neutral","negative"
"646800","Telefónica gana un 50% menos hasta septiembre tras reestructurar su plantilla","Telefónica","negative","neutral","neutral"
"664446","El sector inmobiliario, a la cola en sostenibilidad, pide objetivos realistas","sector inmobiliario","negative","neutral","negative"
"691487","Agencias de viajes recomiendan no viajar a China y facilitar cancelaciones","China","negative","neutral","negative"
"691787","División de opiniones entre las CCAA sobre la decisión de Hacienda de dar un mayor margen de déficit tras negar los fondos del IVA","Hacienda","negative","neutral","neutral"
"744557","Barricadas y quema de neumáticos frente a la planta de Alcoa por los despidos","planta de Alcoa","negative","neutral","negative"
"810037","Medidas frente a la ocupación ilegal de viviendas","ocupación ilegal de viviendas","negative","neutral","negative"
"831306","El 20% de los españoles ya tiene problemas para pagar su hipoteca o alquiler","20% de los españoles","negative","neutral","negative"
"840628","Facturas falsas y fraude fiscal: varapalo al promotor de oficinas que acusa al Gobierno de comprar periodistas","promotor de oficinas","negative","neutral","negative"
"990231","Economía/Agricultura.- Asaja pide que la retencion de ovejas y cabras acabe un mes antes para evitar ""graves perjuicios""","Asaja","negative","neutral","negative"
"1024646","Las empresas tecnológicas españolas: mucha oferta y muy pocos candidatos","empresas tecnológicas españolas","negative","neutral","negative"
"1026882","El Gobierno, sin índice de precios para limitar los alquileres ni metodología para calcularlo","Gobierno","negative","neutral","negative"
"1028555","Vodafone presenta un ERE para 515 empleados en España","Vodafone","negative","neutral","neutral"
"1048482","En la calle a la espera del Ingreso Mínimo Vital","Ingreso Mínimo Vital","negative","neutral","negative"
"1048778","Los locales de ocio nocturno serán clausurados a lo largo de esta semana","locales de ocio nocturno","negative","neutral","negative"
"1079922","La deuda de la Comunidad también es consecuencia de la adhesión al Fondo de Facilidad Financiera","deuda de la Comunidad","negative","neutral","negative"
"1084959","Las pensiones en España, rumbo hacia el iceberg","pensiones en España","negative","neutral","negative"
"1105891","Los españoles necesitan 7,5 años de sueldo íntegro para comprar una vivienda","españoles","negative","neutral","negative"
"1121641","Volkswagen era consciente del fraude de las emisiones semanas antes de lo admitido","Volkswagen","negative","neutral","negative"
"1150544","La venta de suelo cada vez cubre menos de lo que cuesta el Parque Central de Valencia","venta de suelo","negative","neutral","negative"
"1184936","Metro de Madrid comienza hoy los paros y critica unos servicios mínimos ""abusivos""","Metro de Madrid","negative","neutral","negative"
"1275972","Alquilar un piso compartido en Aragón cuesta de media de 252 euros al mes","Alquilar un piso compartido","neutral","neutral","neutral"
"1304618","Isern Patentes y Marcas presenta un ERTE","Isern Patentes y Marcas","negative","neutral","neutral"
"1305160","Airbus plantea un ERTE para sus centros de Getafe, Illescas y Puerto Real","Airbus","negative","neutral","neutral"
"1459601","Deutsche Bank cerrará un 25% de sus oficinas y venderá Postbank para ahorrar 3.500 millones","Deutsche Bank","negative","neutral","negative"
"1462027","Banco Madrid intenta frenar la fuga de empleados","Banco Madrid","negative","neutral","neutral"
"1463784","Los billetes de 100 euros en circulación marcan mínimos históricos en abril","billetes de 100 euros","negative","neutral","negative"
"1569048","La Reina y la Princesa de Asturias cobrarán un sueldo fijo anual","Reina","positive","neutral","negative"
"1574425","WhatsApp sufre un fallo de seguridad que permite a los 'hackers' leer conversaciones","WhatsApp","negative","neutral","negative"
"1576108","BNP Paribas suprimirá cerca de 1.600 empleos en su filial ucraniana","BNP Paribas","negative","neutral","neutral"
"1580565","UGT relaciona el descenso del paro con la reducción de la población activa","descenso del paro","negative","neutral","neutral"
"1581188","Madrileños y vascos, en el ojo del huracán de las subidas del euribor","Madrileños y vascos","negative","neutral","negative"
"1588795","El Banco de Inglaterra pone un drástico límite a las hipotecas para pinchar la burbuja inmobiliaria","Banco de Inglaterra","negative","neutral","positive"
"1597977","Roche despedirá a unos 100 empleados en España","Roche","negative","neutral","neutral"
"1603566","Fernández de Sousa prestó 5,2 millones a su mujer para llevarlos a China","Fernández de Sousa","negative","neutral","neutral"
"1680886","Telefónica recortará un 10% de su plantilla en la República Checa","Telefónica","negative","neutral","neutral"
"1705731","La Fiscalía denuncia al presidente del Puerto de Valencia por posible malversación","presidente del Puerto de Valencia","negative","neutral","negative"
"1784790","Competencia cuestiona las UTE en contratación pública","UTE","negative","neutral","negative"
"1786919","Huelga la reforma","reforma","neutral","neutral","neutral"
"1833135","La OIT ve la reforma laboral en España insuficiente para atajar el uso del despido improcedente","reforma laboral en España","negative","neutral","negative"
"1846226","El servicio de radio de la BBC entra en crisis por los despidos masivos","BBC","negative","neutral","negative"
"1851618","El Hospital de Sant Pau negocia un ERE que afectará a unos 500 trabajadores","Hospital de Sant Pau","negative","neutral","neutral"
"1893441","Ryanair cancela cuatro rutas en El Prat por la subida de las tasas aeroportuarias","Ryanair","negative","neutral","negative"
"1896421","Los coches reservados en agosto y entregados en septiembre tributarán con dos tipos de IVA distintos","coches reservados en agosto","negative","neutral","negative"
"1901698","Vestas aplica sus recortes en España y prescinde de 250 empleados","Vestas","negative","neutral","neutral?"
"3025311","Ford Almussafes anuncia un nuevo ERTE de 33 días","Ford Almussafes","negative","neutral","neutral?"
"3162652","El nuevo mecanismo de ajuste de las pensiones no evitará el recorte de sus cuantías, según los expertos","ajuste de las pensiones","negative","neutral","negative"
"3198051","Caixa Penedès cerrará 39 oficinas, el 6% de su red","Caixa Penedès","negative","neutral","negative"
"3208212","BBVA se suma a los recortes de plantilla de la banca","BBVA","negative","neutral","neutral?"
"3264610","DIA, en la cuerda floja del IBEX","DIA","negative","neutral","negative"
"3266545","Iglesias coloca un vicario en la negociación de los Presupuestos","Iglesias","negative","neutral","negative"
"3288640","Afectados por el coronavirus demandarán a Torra por las residencias","Torra","negative","neutral","negative"
"3289713","Galicia: protesta por el ERE del Santander, que afectará a 370 empleos","ERE del Santander","negative","neutral","neutral"
"3333341","Farggi presenta un ERE para despedir a 153 trabajadores","Farggi","negative","neutral","neutral"
"3339581","Iberdrola camufla sus problemas en España","Iberdrola","negative","neutral","neutral"
"72449","‘Arrivederci’ Alitalia, no se te echará de menos","Alitalia","negative","neutral","neutral"
"73483","Bancos y turísticas frenan el repunte de pagos de dividendos en 2021","Bancos y turísticas","negative","neutral","neutral"
"77260","Squid: así colapsó la criptomoneda del ‘Juego del calamar’","Squid","negative","neutral","negative"
"79183","El misterio de quién inventó el bitcóin llega a juicio","bitcóin","neutral","neutral","neutral"
"91332","Las ventas de vehículos de ocasión cae un 9,7% en el primer trimestre del año","ventas de vehículos de ocasión","negative","neutral","neutral"
"107605","Hugo Boss advierte de que no cumplirá previsiones por el descenso de ventas en China","Hugo Boss","negative","neutral","neutral"
"119002","En libertad con cargos cuatro de los detenidos de la organización UPA Extremadura","detenidos de la organización UPA","positive","neutral","neutral"
"132572","Una sentencia avala que se pueda despedir a un miembro del comité de empresa","miembro del comité de empresa","negative","neutral","neutral"
"138350","Vara se siente ""engañado"" con la inversión de los Presupuestos en Extremadura","Vara","negative","neutral","neutral"
"142233","Repsol somete este viernes a su junta de accionistas el pago de un dividendo complementario de 0,45 euros","Repsol","neutral","neutral","neutral"
"150654","Leopoldo del Nogal abandona el consejo de administración de El Corte Inglés","Leopoldo del Nogal","negative","neutral","neutral"
"156169","Técnicas Reunidas y el reto de lograr nuevos contratos","Técnicas Reunidas","negative","neutral","neutral"
"159246","Las gestoras catalanas frenan los reembolsos de sus fondos","gestoras catalanas","positive","neutral","neutral"
"172718","Siemens Gamesa: el ajuste de plantilla no se hizo bien porque ""hubo mucho ruido y rumores""","Siemens Gamesa","negative","neutral","neutral"
"220250","El mayor fabricante mundial de semiconductores, afectado por un virus informático","fabricante mundial de semiconductores","negative","neutral","negative"
"235576","Un rebote que sabe a poco","Un rebote","negative","neutral","neutral"
"257274","El Popular cierra su semana negra con pérdidas de 800 millones en Bolsa","Popular","negative","neutral","negative"
"278096","El bitcóin cae a mínimos de dos meses tras la prohibición de publicidad en Facebook","bitcóin","negative","neutral","negative"
"286942","Realia gana un 74% menos en 2017 por los extraordinarios de 2016","Realia","negative","neutral","neutral"
"333703","Comerciantes amenazan con denunciar a CaixaBank por vender electrodomésticos","CaixaBank","negative","neutral","neutral"
"336115","La Airef considera que la política fiscal de los Presupuestos es «muy similar» a la de otros años","Presupuestos","neutral","neutral","neutral"
"338511","La mudanza de la TDT para dar paso al 5G puede costar 350 millones en ayudas","mudanza de la TDT","negative","neutral","neutral"
"341423","Bankinter ve “injusto” el impuesto a la banca y confía en que no salga adelante","impuesto a la banca","negative","neutral","neutral"
"345993","Gimeno pide la auditoría sobre contratación en el área de seguridad de ECI","área de seguridad de ECI","negative","neutral","neutral"
"348705","Ibarrola dimite como presidente de Deoleo por motivos de salud","Ibarrola","negative","neutral","neutral"
"370790","Calviño no considera «muy barata» la indemnización por despido de 20 días","indemnización por despido","negative","neutral","neutral"
"395117","Primer reto de Villar-Mir II: Levantar un desplome de la acción del 77%","Villar-Mir II","negative","neutral","negative"
"401291","Baleares sanciona a Iberia con 448.000 euros por aplicar la cláusula 'no show'","Iberia","negative","neutral","neutral"
